	class	name	lat	lon	address
90	Магазин электроники	Магазин Xiaomi	50.454875	30.611009999999997	вулиця Будівельників, 40, Дніпровський район, Київ, Україна
91	Салон связи	Салон-магазин МТС	55.813364	37.60346	Огородный пр., 10, Москва, Россия
92	Салон связи	GPScase.ru	55.659530000000004	37.757507000000004	Братиславская ул., 16, корп. 1, Москва, Россия
93	Магазин электроники	М.Видео	59.392686	56.85649	ул. Пятилетки, 150, Березники, Россия
94	Магазин электроники	2Emarket	55.59251999999999	37.612488	Россошанская ул., 6, Москва, Россия
95	Салон связи	Евросеть	55.45242	37.762781	Каширское ш., 3А, Домодедово, Россия
96	Салон связи	Билайн	55.743789	37.86371	Суздальская ул., 30/2, Москва, Россия
97	Магазин электроники	Цифровой супермаркет DNS	56.852945999999996	60.551058	ул. Халтурина, 55, Екатеринбург, Россия
98	Магазин электроники	Электроинструмент	56.122814	38.428805	Интернациональная ул., 95, п. г. т. Фряново, Россия
99	Салон связи	Билайн	55.817531	37.807162	Байкальская ул., 29, Москва, Россия
100	Салон связи	Связной	55.6769	37.5048	просп. Вернадского, 14, Москва, Россия
101	Салон связи	Евросеть	56.029526000000004	35.503405	1-я Советская ул., 5, п. г. т. Шаховская, Россия
102	Магазин электроники	Евросеть	55.714874	37.882733	Святоозёрская ул., 1А, Москва, Россия
103	Магазин электроники	Техно Стор	55.844324	37.383642	Пятницкое ш., 18, Москва, Россия
104	Салон связи	Салон-магазин МТС	54.634962	39.688702	Московское ш., 21, Рязань, Россия
105	Салон связи	Связной	55.567326	37.573541999999996	бул. Дмитрия Донского, 10, Москва, Россия
106	Салон связи	Yesmobile	56.499628	39.68288	Советская площадь, 10, Юрьев-Польский, Россия
107	Салон связи	Билайн	56.71491999999999	36.77427	просп. Ленина, 12, Конаково, Россия
108	Салон связи	Мобил элемент	55.696837	37.739769	ул. Чистова, 9/19, Москва, Россия
109	Магазин электроники	Цифровой супермаркет DNS	57.998986	56.156417000000005	Парковый просп., 23, Пермь, Россия
110	Салон связи	МегаФон	55.855168000000006	37.478121	Фестивальная ул., 2Б, Москва, Россия
111	Магазин электроники	Sony Centre	56.128287	40.403113	Большая Московская ул., 19, Владимир, Россия
112	Магазин электроники	Dina. Life!	55.718963	37.690048	Волгоградский просп., 32, корп. 31, Москва, Россия
113	Салон связи	Билайн	55.630857999999996	37.851898	площадь Дмитрия Донского, 4, Дзержинский, Россия
114	Салон связи	Tele2	55.431394	37.564098	Вокзальная площадь, 2, Подольск, Россия
115	Магазин электроники	Магазин электроники	55.885177	37.39535	Куркинское ш., 17, корп. 1, Москва, Россия
116	Салон связи	Салон-магазин МТС	55.565022	37.556699	ул. Поляны, 8, Москва, Россия
117	Магазин электроники	Цифровой супермаркет DNS	54.213804	37.623146000000006	Октябрьская ул., 77, Тула, Россия
118	Салон связи	Салон связи Tele2	55.147856000000004	40.555955	ул. Ленина, 110, п. г. т. Тума, Россия
119	Магазин электроники	Технопарк	54.196153	37.612243	Советская ул., 17, Тула, Россия
120	Салон связи	Mega iOS	55.84585500000001	37.662093	просп. Мира, 211, корп. 2, Москва, Россия
121	Салон связи	Билайн	55.161512	37.4682	Симферопольское ш., 1, Чехов, Россия
122	Магазин электроники	Цифровой супермаркет DNS	59.818916	30.318617	Пулковское ш., 25, корп. 1, Санкт-Петербург, Россия
123	Салон связи	Tele2	55.778158	37.51667	ул. Куусинена, 1, Москва, Россия
124	Магазин электроники	Юлмарт, Центр исполнения заказов	55.855689	37.477657	Фестивальная ул., 13, корп. 1, Москва, Россия
125	Магазин электроники	Фирма Электротехснаб	56.99566	40.968086	Почтовая ул., 48, Иваново, Россия
126	Салон связи	Интернет-магазин техники Tekhnomol.ru	55.742732	37.502866	Багратионовский пр., 7, корп. 20А, Москва, Россия
127	Магазин электроники	Сервис-центр Мобипитер	60.018052000000004	30.312170000000002	Фермское ш., 41, корп. 3, Санкт-Петербург, Россия
128	Магазин электроники	Региональный магазин электроники Коламаркет	67.56456800000001	30.474502	ул. Победы, 14-24, Ковдор, Россия
129	Магазин электроники	D-Color	55.673646	37.440317	Большая Очаковская ул., 47А, стр. 1, Москва, Россия
130	Салон связи	Tele2	55.738581999999994	37.411916999999995	Ярцевская ул., 19, Москва, Россия
131	Салон связи	Tele2	56.264602000000004	34.328193	ул. Бехтерева, 79/9, Ржев, Россия
132	Салон связи	Билайн	54.620932999999994	39.756219	Театральная площадь, 4, Рязань, Россия
133	Салон связи	МегаФон	55.643579	37.524946	Профсоюзная ул., 104/47, Москва, Россия
134	Магазин электроники	Цифровой супермаркет DNS	56.398352	38.717261	ул. Ленина, 13/1, Александров, Россия
135	Салон связи	Билайн	55.998076	37.252659	Россия, Московская область, Солнечногорский район, поселок городского типа Ржавки, 2-й микрорайон
136	Магазин электроники	KiteNet	52.213989	104.304133	Снежная ул., 1, микрорайон Зеленый Берег, рабочий поселок Маркова, Россия
137	Салон связи	Товары для мобильных телефонов	55.659028	37.930023	Егорьевское ш., 1, п. г. т. Томилино, Россия
138	Салон связи	АТС	55.61119300000001	39.575628	Школьная ул., 19, микрорайон Керва, Шатура, Россия
139	Магазин электроники	Ergo Electronics	55.758038	37.73986	просп. Будённого, 53, Москва, Россия
140	Салон связи	Tele2	55.71099	37.812564	Сормовская ул., 6, Москва, Россия
141	Магазин электроники	ТД Апико	55.771798	37.632759	ул. Сретенка, 36, Москва, Россия
142	Салон связи	Связной	55.91340400000001	37.584076	МКАД, 84-й километр, 1, Москва, Россия
143	Магазин электроники	Электро	55.475941000000006	37.316271	Калужское ш., 13А, Троицк, Россия
144	Салон связи	Мобил элемент	55.691706999999994	37.535574	Ломоносовский просп., 23А, стр. 1, Москва, Россия
145	Магазин электроники	Магазин электроники Lcdhome.ru	55.81578199999999	37.629996000000006	Звёздный бул., 18/1, Москва, Россия
146	Салон связи	Билайн	55.797681999999995	37.95706	просп. Ленина, 30А, Балашиха, Россия
147	Магазин электроники	М.Видео	55.782178	37.48155	ул. Народного Ополчения, 28, корп. 1, Москва, Россия
148	Магазин электроники	Media Markt	45.012681	38.930755	Тургеневское ш., 27, посёлок Новая Адыгея, Россия
149	Салон связи	Пульт-оптом.ру	56.047142	92.858802	Караульная ул., 38, Красноярск, Россия
150	Магазин электроники	Сдайка	56.85587099999999	35.911708000000004	Симеоновская ул., 39, Тверь, Россия
151	Салон связи	Телефон.ру	55.729780000000005	36.855643	Московская ул., 14, Звенигород, Россия
152	Салон связи	Салон-магазин МТС	56.34288000000001	37.515840000000004	Загорская ул., 22, Дмитров, Россия
153	Салон связи	Связной	55.755615	37.556518	Краснопресненская наб., 12, Москва, Россия
154	Магазин электроники	Фототехника	55.831286999999996	37.624085	просп. Мира, 119, стр. 17, Москва, Россия
