stop_id;stop_sequence;route_id;service_id;using_trip_id;using_trip_id__next;stop_id__using_trip_id;stop_id__using_trip_id__next;time
1692;17;267;3106454;267_3106454_11_301;267_3106454_11_301;1692__199;1547__199;2.0
1547;18;267;3106454;267_3106454_11_301;267_3106454_11_301;1547__199;10196__199;2.0
10196;19;267;3106454;267_3106454_11_301;267_3106454_11_301;10196__199;1548__199;3.0
1548;20;267;3106454;267_3106454_11_301;267_3106454_11_301;1548__199;861__199;3.0
861;21;267;3106454;267_3106454_11_301;267_3106454_11_301;861__199;9118__199;1.0
9118;22;267;3106454;267_3106454_11_301;267_3106454_11_301;9118__199;1693__199;2.0
1693;23;267;3106454;267_3106454_11_301;267_3106454_11_301;1693__199;1495__199;1.0
1495;24;267;3106454;267_3106454_11_301;267_3106454_11_301;1495__199;1002875__199;1.0
1002875;25;267;3106454;267_3106454_11_301;267_3106454_11_301;1002875__199;119__199;4.0
119;28;267;3106454;267_3106454_11_301;267_3106454_11_301;119__199;120__199;2.0
120;29;267;3106454;267_3106454_11_301;267_3106454_11_301;120__199;1690__199;-30.0
1690;12;267;3106454;267_3106454_11_301;267_3106454_11_301;1690__199;1691__199;3.0
1691;13;267;3106454;267_3106454_11_301;267_3106454_11_301;1691__199;10138__199;5.0
10138;16;267;3106454;267_3106454_11_301;267_3106454_11_301;10138__199;117__199;17.0
117;26;267;3106454;267_3106454_11_301;267_3106454_11_301;117__199;118__199;2.0
118;27;267;3106454;267_3106454_11_301;1802_3113148_10_213;118__199;1654__Т70;469.0
1654;6;1802;3113148;1802_3113148_10_213;1802_3113148_10_213;1654__Т70;649__Т70;2.0
649;7;1802;3113148;1802_3113148_10_213;1802_3113148_10_213;649__Т70;16180__Т70;-3.0
16180;5;1802;3113148;1802_3113148_10_213;1802_3113148_10_213;16180__Т70;652__Т70;8.0
652;10;1802;3113148;1802_3113148_10_213;1802_3113148_10_213;652__Т70;653__Т70;2.0
653;11;1802;3113148;1802_3113148_10_213;1802_3113148_10_213;653__Т70;654__Т70;1.0
654;12;1802;3113148;1802_3113148_10_213;1802_3113148_10_213;654__Т70;655__Т70;2.0
655;13;1802;3113148;1802_3113148_10_213;1802_3113148_10_213;655__Т70;656__Т70;1.0
656;14;1802;3113148;1802_3113148_10_213;1802_3113148_11_213;656__Т70;674__Т70;71.0
674;24;1802;3113148;1802_3113148_11_213;1802_3113148_1_213;674__Т70;674__Т70;-999.0
674;9;1802;3113148;1802_3113148_1_213;1802_3113148_11_213;674__Т70;15347__Т70;1000.0
15347;25;1802;3113148;1802_3113148_11_213;1802_3113148_1_213;15347__Т70;15347__Т70;-999.0
15347;10;1802;3113148;1802_3113148_1_213;1802_3113148_11_213;15347__Т70;666__Т70;1005.0
666;29;1802;3113148;1802_3113148_11_213;1802_3113148_1_213;666__Т70;666__Т70;-997.0
666;14;1802;3113148;1802_3113148_1_213;1802_3113148_11_213;666__Т70;665__Т70;996.0
665;28;1802;3113148;1802_3113148_11_213;1802_3113148_1_213;665__Т70;665__Т70;-998.0
665;13;1802;3113148;1802_3113148_1_213;1802_3113148_11_213;665__Т70;663__Т70;995.0
663;26;1802;3113148;1802_3113148_11_213;1802_3113148_1_213;663__Т70;663__Т70;-999.0
663;11;1802;3113148;1802_3113148_1_213;1802_3113148_11_213;663__Т70;664__Т70;1001.0
664;27;1802;3113148;1802_3113148_11_213;1802_3113148_1_213;664__Т70;664__Т70;-999.0
664;12;1802;3113148;1802_3113148_1_213;1802_3113148_11_213;664__Т70;13399__Т70;1007.0
13399;32;1802;3113148;1802_3113148_11_213;1802_3113148_1_213;13399__Т70;13399__Т70;-996.0
13399;17;1802;3113148;1802_3113148_1_213;1802_3113148_11_213;13399__Т70;670__Т70;997.0
670;33;1802;3113148;1802_3113148_11_213;1802_3113148_1_213;670__Т70;670__Т70;-995.0
670;18;1802;3113148;1802_3113148_1_213;1802_3113148_11_213;670__Т70;671__Т70;996.0
671;34;1802;3113148;1802_3113148_11_213;1802_3113148_1_213;671__Т70;671__Т70;-995.0
671;19;1802;3113148;1802_3113148_1_213;1802_3113148_11_213;671__Т70;648__Т70;996.0
648;35;1802;3113148;1802_3113148_11_213;1802_3113148_1_213;648__Т70;648__Т70;-995.0
648;20;1802;3113148;1802_3113148_1_213;1802_3113148_10_213;648__Т70;647__Т70;893.0
647;4;1802;3113148;1802_3113148_10_213;1802_3113148_10_213;647__Т70;9812__Т70;-3.0
9812;1;1802;3113148;1802_3113148_10_213;1802_3113148_11_213;9812__Т70;9812__Т70;110.0
9812;39;1802;3113148;1802_3113148_11_213;1802_3113148_1_213;9812__Т70;9812__Т70;-994.0
9812;24;1802;3113148;1802_3113148_1_213;1802_3113148_10_213;9812__Т70;1545__Т70;885.0
1545;2;1802;3113148;1802_3113148_10_213;1802_3113148_10_213;1545__Т70;770__Т70;1.0
770;3;1802;3113148;1802_3113148_10_213;1802_3113148_11_213;770__Т70;672__Т70;105.0
