trip_id;short_name
602_3112122_11_701;861
602_3112122_10_701;861
239_3113436_10_301;254
239_3113436_10_302;254
2024_3112851_11_301;Т43
2024_3112851_10_301;Т43
1751_3111874_10_601;533
1751_3111874_11_601;533
622_3112555_11_204;200
622_3112555_10_204;200
867_3113207_1_206;7
867_3113207_11_203;7
867_3113207_10_203;7
2040_3112313_10_202;Т
2040_3112313_11_201;Т
2040_3112313_10_201;Т
168_3113057_11_301;143
168_3113057_10_301;143
1842_3113351_10_203;569
1842_3113351_10_706;569
1842_3113351_11_301;569
1842_3113351_10_302;569
1842_3113351_10_304;569
1074_3111952_10_301;718
1074_3111952_11_301;718
881_3111941_11_601;883
881_3111941_10_601;883
1875_3111947_10_601;983
1875_3111947_11_601;983
698_3112082_10_201;698
698_3112082_11_201;698
1103_3112137_10_201;234
988_3112970_1_301;З-4
988_3112970_10_301;З-4
988_3112970_15_301;З-4
988_3112970_11_301;З-4
1035_3112990_11_301;З-24
1035_3112990_10_301;З-24
963_3113015_10_701;З-29
963_3113015_25_703;З-29
963_3113015_11_701;З-29
1793_3112736_11_203;Т53
1793_3112736_10_203;Т53
454_3112893_11_301;66
454_3112893_10_301;66
787_3113095_10_301;З-11
947_3113027_10_701;З-21
947_3113027_11_701;З-21
920_3113114_11_703;З-16
920_3113114_10_703;З-16
920_3113114_10_301;З-16
920_3113114_11_301;З-16
847_3113009_15_704;З-2
847_3113009_16_704;З-2
847_3113009_10_301;З-2
847_3113009_1_301;З-2
847_3113009_10_302;З-2
968_3113000_10_707;З-3
968_3113000_10_301;З-3
968_3113000_1_301;З-3
968_3113000_12_704;З-3
968_3113000_13_704;З-3
968_3113000_1_707;З-3
968_3113000_12_707;З-3
738_3113112_11_301;400Т
738_3113112_10_301;400Т
1765_3113115_11_701;З-32К
1765_3113115_10_701;З-32К
594_3113081_10_301;З-9
713_3113020_10_301;З-10
713_3113020_10_703;З-10
713_3113020_13_707;З-10
713_3113020_1_301;З-10
372_3112947_10_203;38
372_3112947_10_809;38
372_3112947_11_203;38
372_3112947_1_120;38
197_3112892_10_705;228
197_3112892_10_301;228
308_3112910_11_301;153
308_3112910_10_301;153
870_3112780_11_301;З-5
870_3112780_10_301;З-5
945_3113163_11_301;З-20
945_3113163_10_301;З-20
945_3113163_20_704;З-20
945_3113163_1_301;З-20
863_3113162_11_301;З-17
863_3113162_10_301;З-17
141500291_1_10_5;957
141500291_1_10_1;957
14150221_1_1_1;300
14150221_1_10_11;300
141500290_1_10_1;945
14150235_1_10_1;305
14150235_1_13_4;305
14150234_1_17_3;302
14150234_1_10_1;302
141500222_1_10_2;429
141500222_1_10_1;429
14150226_1_10_1;974
14150226_1_1_1;974
14150226_1_1_10;974
14150239_1_1_1;446
14150238_1_20_2;308
14150238_1_10_1;308
141500166_1_1_1;83
14150230_1_10_1;С16
14150230_1_10_3;С16
14150241_1_10_2;509к
14150248_1_10_1;506
14150228_1_1_1;С14
14150228_1_10_1;С14
14150252_1_10_1;501
141500320_1_10_1;115
14150229_1_1_1;С15
14150229_1_1_2;С15
14150229_1_10_1;С15
14150223_1_10_2;327
14150237_1_10_1;307
14150250_1_10_1;525
14150250_1_28_1;525
14150225_1_10_2;523
14150225_1_16_2;523
14150222_1_1_1;325
14150247_1_10_1;720
14150231_1_1_1;С17
14150231_1_10_1;С17
14150232_1_1_1;509
14150232_1_10_2;509
14150233_1_10_1;301
14150233_1_11_1;301
14150227_1_1_1;С13
14150243_1_1_1;967
14150243_1_10_10;967
14150249_1_10_1;521
14150249_1_10_10;521
14150253_1_10_1;504
14150224_1_1_1;449
14150236_1_10_1;306
14150236_1_18_1;306
14150240_1_1_1;485
14150251_1_10_1;316
14150244_1_10_1;С18
141500298_1_10_5;125
141500298_1_10_1;125
141500224_1_10_10;438
141500224_1_10_1;438
141500223_1_10_1;436
141500223_1_1_1;436
141500173_1_24_2;140
141500173_1_10_1;140
141500205_1_10_1;350
141500244_1_10_1;530
141500217_1_10_1;394
141500164_1_10_1;73
141500164_1_1_2;73
141500237_1_10_2;491
141500237_1_10_1;491
141500203_1_10_1;340
141500203_1_10_2;340
141500248_1_1_1;551
141500248_1_10_1;551
141500165_1_11_10;80
141500165_1_10_10;80
141500220_1_10_1;409
141500220_1_17_2;409
141500305_1_1_1;С9
141500270_1_10_1;650
141500263_1_12_4;606
141500263_1_10_1;606
141500263_1_16_5;606
141500301_1_10_1;317
141500301_1_10_6;317
141500186_1_1_1;259
141500186_1_10_1;259
141500186_1_10_2;259
141500265_1_10_1;618
141500194_1_10_1;312
141500269_1_10_1;644
141500269_1_10_10;644
141500295_1_10_1;987
141500261_1_10_2;601
141500299_1_1_1;141
141500184_1_10_1;244
141500184_1_10_3;244
141500226_1_10_1;443
141500221_1_1_1;428
141500262_1_10_1;602
141500178_1_10_1;195
141500187_1_10_2;265
141500187_1_10_10;265
141500187_1_10_11;265
141500292_1_10_1;975
937_3113017_11_201;775
937_3113017_10_201;775
153_3099774_11_701;74
153_3099774_10_701;74
658_3112033_10_202;233
658_3112033_11_202;233
658_3112033_10_301;233
658_3112033_11_301;233
689_3105297_11_301;656
689_3105297_10_301;656
191_3113433_11_301;177
191_3113433_10_301;177
958_3102398_101_301;З-28
958_3102398_100_301;З-28
845_3105604_11_301;62
845_3105604_10_301;62
263_3106631_11_701;102
263_3106631_10_701;102
321_3105537_10_301;808
321_3105537_11_301;808
723_3114397_10_707;905
723_3114397_10_201;905
723_3114397_10_704;905
723_3114397_10_711;905
723_3114397_10_202;905
723_3114397_11_714;905
723_3114397_11_201;905
723_3114397_11_704;905
1906_3107238_10_701;382
818_3112306_1_703;634
818_3112306_10_703;634
818_3112306_11_301;634
818_3112306_10_301;634
1298_3112762_11_301;884
1298_3112762_10_301;884
107_3111395_10_201;27
107_3111395_11_201;27
352_3107453_10_203;124
352_3107453_10_301;124
642_3104531_11_201;215К
642_3104531_10_201;215К
365_3112646_10_301;183
365_3112646_11_301;183
1719_3108168_11_201;268К
1719_3108168_10_201;268К
231_3099770_10_301;197
775_3111458_10_301;36
775_3111458_10_302;36
273_3105579_11_301;821
273_3105579_10_301;821
296_3109641_11_201;285
296_3109641_10_201;285
634_3114348_11_301;647
634_3114348_10_704;647
634_3114348_10_301;647
307_3099771_10_301;697
1288_3112481_10_301;872
1288_3112481_11_301;872
747_3105577_11_301;20
747_3105577_10_703;20
747_3105577_10_301;20
747_3105577_10_302;20
993_3108173_11_601;834
993_3108173_10_601;834
350_3113966_21_301;889
350_3113966_11_203;889
350_3113966_10_203;889
350_3113966_12_704;889
806_3107910_11_701;860
806_3107910_10_701;860
687_3112030_10_302;65
687_3112030_10_201;65
253_3099782_11_202;772
253_3099782_10_202;772
1972_3112536_11_701;С23
1972_3112536_10_701;С23
851_3112707_11_301;98
851_3112707_10_301;98
245_3112542_10_202;726
245_3112542_10_301;726
1286_3102405_11_701;З-25
1286_3102405_10_701;З-25
1075_3106632_11_701;251К
1075_3106632_10_701;251К
267_3106454_11_301;199
267_3106454_10_704;199
1890_3101010_11_201;СТ1
1890_3101010_10_201;СТ1
1889_3101013_11_201;СТ2
1889_3101013_10_201;СТ2
1306_3112344_1_701;273
1306_3112344_10_701;273
871_3111646_1_701;126
871_3111646_11_701;126
871_3111646_10_701;126
1997_3100190_11_701;П122
1997_3100190_10_701;П122
539_3111339_10_301;779
539_3111339_11_301;779
539_3111339_1_301;779
190_3106928_10_302;Т
190_3106928_10_301;Т
1998_3113364_10_701;П209
1998_3113364_10_704;П209
655_3112997_1_704;1004
655_3112997_1_207;1004
655_3112997_1_714;1004
655_3112997_1_206;1004
655_3112997_1_710;1004
284_3108006_10_302;678
152_3113055_10_302;51
152_3113055_10_201;51
624_3110432_11_301;40
624_3110432_10_301;40
624_3110432_1_301;40
624_3110432_16_303;40
251_2919865_11_301;747
251_2919865_10_301;747
835_3112024_1_701;Н2
835_3112024_2_701;Н2
732_3110970_10_301;133
732_3110970_10_302;133
732_3110970_1_301;133
145_3110670_10_701;129
145_3110670_11_701;129
145_3110670_12_702;129
145_3110670_13_702;129
909_3102572_10_701;З-14
909_3102572_11_701;З-14
909_3102572_11_702;З-14
611_3099598_1_201;526
611_3099598_2_201;526
643_3111211_11_601;875
643_3111211_10_601;875
157_3106594_11_201;251
157_3106594_10_201;251
608_3111246_11_201;515
608_3111246_10_201;515
541_3113362_11_301;264
541_3113362_10_301;264
202_3110743_10_302;279
202_3110743_10_301;279
212_3112544_11_701;731
212_3112544_10_701;731
1721_3110618_11_701;642К
1721_3110618_10_701;642К
218_3112479_10_301;79
218_3112479_11_301;79
260_3104037_10_202;773
260_3104037_10_301;773
563_3112038_10_301;895
563_3112038_10_205;895
621_3099786_11_201;871
621_3099786_12_201;871
621_3099786_10_201;871
244_3107502_1_106;С3
244_3107502_10_703;С3
244_3107502_4_703;С3
244_3107502_10_701;С3
530_3112243_11_202;804
530_3112243_10_202;804
701_3113641_10_701;705
701_3113641_3_701;705
701_3113641_11_702;705
701_3113641_11_701;705
420_3111230_10_201;25
420_3111230_10_203;25
277_3112808_10_201;849
277_3112808_10_704;849
873_3112023_11_301;825
873_3112023_10_301;825
106_3106660_11_201;175
106_3106660_10_201;175
752_3109639_10_301;211
752_3109639_11_301;211
554_3106440_11_301;793
554_3106440_10_301;793
825_3113939_10_701;609
394_3114002_11_301;781
394_3114002_13_301;781
394_3114002_11_302;781
394_3114002_1_301;781
394_3114002_10_301;781
394_3114002_10_302;781
394_3114002_12_301;781
394_3114002_10_303;781
946_3114497_11_303;170
946_3114497_11_202;170
946_3114497_11_301;170
946_3114497_2_707;170
946_3114497_10_707;170
946_3114497_10_202;170
527_3106713_11_701;746
527_3106713_10_701;746
459_3106706_10_701;843
459_3106706_11_701;843
957_3113327_10_301;204
957_3113327_11_301;204
716_3107260_11_205;851
716_3107260_10_205;851
716_3107260_3_717;851
716_3107260_1_206;851
300_3110754_10_201;613
300_3110754_11_201;613
422_3113212_10_201;13
422_3113212_10_803;13
232_3113439_1_201;885
232_3113439_11_201;885
232_3113439_10_201;885
833_3107261_1_701;Н1
833_3107261_2_701;Н1
438_3110668_11_201;870
438_3110668_10_201;870
194_3106234_10_301;669
194_3106234_11_301;669
248_3110842_10_202;60
248_3110842_10_703;60
248_3110842_22_202;60
248_3110842_1_202;60
173_3112792_10_203;733
173_3112792_11_203;733
173_3112792_14_207;733
173_3112792_15_207;733
173_3112792_1_203;733
121_3107426_10_701;248
121_3107426_11_701;248
1138_3111512_11_702;252
1138_3111512_10_701;252
162_3113928_10_301;652
