id;lat;lon;x;y;source_name;info;station_name;exit_name
371;55.8860095;37.661323;4192439.2989610024;7535756.757309048;data.mos;Нет информации;Медведково;Медведково, выход из южного вестибюля
373;55.8881393;37.6617139;4192482.8137499536;7536179.505794399;data.mos;Нет информации;Медведково;Медведково, выход из северного вестибюля
385;55.6537746;37.622029;4188065.1108897706;7489798.461235973;data.mos;Нет информации;Варшавская;Варшавская, вход-выход 2 в северный вестибюль
386;55.6537836;37.6223458;4188100.3769044545;7489800.237005413;data.mos;Нет информации;Варшавская;Варшавская, вход-выход 3 в северный вестибюль
220;55.7510022;37.7842983;4206128.846737152;7509006.083089299;data.mos;Нет информации;Перово;Перово, вход-выход 4 в западный вестибюль
291;55.670868;37.555662;4180677.170244294;7493171.857047028;data.mos;Нет информации;Новые Черёмушки;Новые Черёмушки, вход-выход 4 в северный вестибюль
293;55.6771381;37.5616571;4181344.5417235484;7494409.635603505;data.mos;Нет информации;Профсоюзная;Профсоюзная, вход-выход 2 в южный вестибюль
295;55.676938;37.562204;4181405.422353064;7494370.130858052;data.mos;Нет информации;Профсоюзная;Профсоюзная, вход-выход 4 в южный вестибюль
297;55.6787501;37.5634052;4181539.139325404;7494727.892098796;data.mos;Нет информации;Профсоюзная;Профсоюзная, вход-выход 2 в северный вестибюль
299;55.6785501;37.5639475;4181599.5078852614;7494688.405468597;data.mos;Нет информации;Профсоюзная;Профсоюзная, вход-выход 4 в северный вестибюль
301;55.6870202;37.5722186;4182520.242525562;7496360.86081352;data.mos;Нет информации;Академическая;Академическая, вход-выход 2 в южный вестибюль
303;55.6868261;37.5729207;4182598.3999400474;7496322.53093169;data.mos;Нет информации;Академическая;Академическая, вход-выход 4 в южный вестибюль
305;55.6887732;37.5740988;4182729.5454321518;7496707.042965895;data.mos;Нет информации;Академическая;Академическая, вход-выход 2 в северный вестибюль
306;55.6885839;37.5748037;4182808.0145412115;7496669.659285469;data.mos;Нет информации;Академическая;Академическая, вход-выход 3 в северный вестибюль
309;55.7069319;37.5848694;4183928.52313969;7500293.933455527;data.mos;Нет информации;Ленинский проспект;Ленинский проспект, выход из южного вестибюля
311;55.7084539;37.5874188;4184212.3210495184;7500594.6500266995;data.mos;Нет информации;Ленинский проспект;Ленинский проспект, выход из северного вестибюля
313;55.7187168;37.6078527;4186487.012392439;7502622.698400417;data.mos;Нет информации;Шаболовская;Шаболовская, выход из вестибюля
315;55.7311623;37.6128713;4187045.6803889344;7505082.764738299;data.mos;Нет информации;Октябрьская;Октябрьская, выход 1 из вестибюля
